name,price,category,stock,isSeasonal,minOrderQuantity,image,unit
Manzana Roja,1.5,Fruta,100,true,10,https://images.unsplash.com/photo-1630563451961-ac2ff27616ab?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,kg
Platano,1.2,Fruta,150,false,10,https://images.unsplash.com/photo-1542062837-627a059e547f?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fHBsYXRhbm98ZW58MHx8MHx8fDA%3D,kg
Naranja Valencia,1.8,Fruta,120,true,10,https://plus.unsplash.com/premium_photo-1724255955839-d3e393497283?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTd8fG5hcmFuamF8ZW58MHx8MHx8fDA%3D,kg
Pera Conferencia,2.0,Fruta,80,true,5,https://images.unsplash.com/photo-1615484477778-ca3b77940c25?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8cGVyYXxlbnwwfHwwfHx8MA%3D%3D,kg
Fresa,2.5,Fruta,50,true,5,https://plus.unsplash.com/premium_photo-1724256149016-05c013fe058e?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,kg
Cereza,3.0,Fruta,40,true,5,https://images.unsplash.com/photo-1528821128474-27f963b062bf?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,kg
Melón,2.8,Fruta,60,true,5,https://images.unsplash.com/photo-1615485290690-285a539321e6?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTF8fG1lbG9ufGVufDB8fDB8fHww,unidad/es
Sandía,3.5,Fruta,30,true,5,https://images.unsplash.com/photo-1581074817932-af423ba4566e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8d2F0ZXJtZWxvbnxlbnwwfHwwfHx8MA%3D%3D,unidad/es
Uva Negra,2.2,Fruta,70,true,5,https://images.unsplash.com/photo-1698305819486-ecca56daaba3?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8dXZhfGVufDB8fDB8fHww,kg
Kiwi,1.9,Fruta,90,false,5,https://images.unsplash.com/photo-1662303645991-185042acc773?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTR8fGtpd2l8ZW58MHx8MHx8fDA%3D,kg
Lechuga,1.0,Verdura,200,false,10,https://images.unsplash.com/photo-1640958904159-51ae08bd3412?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8bGV0dHVjZXxlbnwwfHwwfHx8MA%3D%3D,kg
Tomate,1.3,Verdura,180,false,10,https://images.unsplash.com/photo-1564874997803-e4d589d5fd41?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8dG9tYXRvfGVufDB8fDB8fHww,kg
Pepino,1.1,Verdura,160,false,10,https://images.unsplash.com/photo-1587411768638-ec71f8e33b78?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8cGVwaW5vfGVufDB8fDB8fHww,kg
